src,tgt
"And since we know where their heads are, and we have a wireless mic on them that we're processing the sound from, we're able to create visualizations which are linked very tightly to what they're doing with their speech.","Et comme nous savons où sont leur tête, et qu'ils portent un micro sans-fil depuis lequel nous traitons le son, nous pouvons créer des visualisations qui sont liées très étroitement à ce qu'ils font de leur parole."
This will take about 30 seconds or so.,Cela va prendre 30 secondes environ.
"He's making a, kind of, cheek-flapping sound.",Il fait un son comme s'il faisait vibrer ses joues.
"Well, suffice it to say it's not all like that, but that's part of it.","Bien, il va sans dire que tout n'est pas comme ça, mais ça en fait partie."
Thanks very much. There's always lots more.,Merci beaucoup. Il y a toujours bien plus de choses.
"I'm overtime, so I just wanted to say you can, if you're in New York, you can check out my work at the Whitney Biennial next week, and also at Bitforms Gallery in Chelsea.","J'ai dépassé le temps prévu, donc je veux juste dire que si vous êtes à New York vous pouvez voir mon travail à la biennale de Whitney Museum la semaine prochaine, et aussi à la Bitforms Gallery à Chelsea."
"And with that, I think I should give up the stage, so, thank you so much.","Et maintenant, je crois que je devrais libérer la scène. Merci beaucoup."
"I'd like to talk today about the two biggest social trends in the coming century, and perhaps in the next 10,000 years.","J'aimerais vous parler aujourd'hui des deux plus importantes tendances sociales du siècle à venir, et peut-être des 10.000 prochaines années."
"But I want to start with my work on romantic love, because that's my most recent work.",Mais je voudrais commencer par une étude que j'ai réalisée sur le sentiment amoureux parce que c'est mon travail le plus récent.
"What I and my colleagues did was put 32 people, who were madly in love, into a functional MRI brain scanner.","Mes collègues et moi-même avons réuni 32 personnes, éperdument amoureuses et leur avons fait passer un scanner IRM du cerveau."
17 who were madly in love and their love was accepted; and 15 who were madly in love and they had just been dumped.,17 étaient fous amoureux et leur amour leur était rendu. 15 autres étaient également éperdument amoureux mais venaient de se faire plaquer.
"And so I want to tell you about that first, and then go on into where I think love is going.",C'est ce dont je voudrais d'abord vous parler avant d'évoquer mon idée du futur du sentiment amoureux.
"""What 'tis to love?"" Shakespeare said.","""Qu'est-ce qu'aimer?"" a dit Shakespeare."
I think our ancestors -- I think human beings have been wondering about this question since they sat around their campfires or lay and watched the stars a million years ago.,"Je pense que nos ancêtres... je pense que les êtres humains se posent cette question depuis le jour où ils se sont assis près d'un feu ou qu'ils ont contemplé les étoiles, il y a un million d'années."
"I started out by trying to figure out what romantic love was by looking at the last 45 years of the psychological research and as it turns out, there's a very specific group of things that happen when you fall in love.","J'ai commencé par essayer de comprendre ce qu'est le sentiment amoureux en étudiant les 45 dernières années de recherche sur ... uniquement la psychologie et ce qui en ressort, c'est qu'un groupe d'événements spécifiques se réalise lorsqu'on tombe amoureux."
"The first thing that happens is, a person begins to take on what I call, ""special meaning.""","La première chose est ce que j'appelle... une personne commence à prendre ""une dimension particulière""."
"As a truck driver once said to me, ""The world had a new center, and that center was Mary Anne.""","Un jour, un chauffeur-routier m'a dit: ""Le monde avait un nouveau centre et ce centre s'appelait Mary Anne."""
George Bernard Shaw said it differently.,George Bernard Shaw l'a dit un peu différemment.
"""Love consists of overestimating the differences between one woman and another.""","Il a dit, ""l'Amour c'est surestimer les différences entre une femme et une autre."""
"And indeed, that's what we do.  And then you just focus on this person.",Et c'est exactement ce que nous faisons.  Et votre attention ne se porte plus que sur cette seule personne.
"You can list what you don't like about them, but then you sweep that aside and focus on what you do.",Vous pouvez faire la liste de ce qui ne vous plaît pas chez elle mais vous mettez tout cela de côté et vous vous concentrez sur ce que vous aimez chez elle.
"As Chaucer said, ""Love is blind.""","Chaucer a dit ""L'amour est aveugle."""
"In trying to understand romantic love, I decided I would read poetry from all over the world, and I just want to give you one very short poem from eighth-century China, because it's an almost perfect example of a man who is focused totally on a particular woman.","Pour comprendre le sentiment amoureux, j'ai décidé de lire des poèmes du monde entier et je voudrais vous lire un très court poème chinois du huitième siècle car c'est un exemple quasi-parfait d'un homme totalement envoûté par une femme."
It's a little bit like when you are madly in love with somebody and you walk into a parking lot -- their car is different from every other car in the parking lot.,C'est un petit peu comme lorsque vous êtes follement amoureux de quelqu'un et que vous marchez dans un parking. Sa voiture est différente de toutes les autres.
is different from every other wine glass at the dinner party.,Son verre de vin dans un dîner est différent de tous les autres.
"And in this case, a man got hooked on a bamboo sleeping mat.","Et là, un homme est devenu accro à un matelas en bambou."
And it goes like this. It's by a guy called Yuan Zhen.,Voici le poème. C'est d'un homme qui s'appelle Yuan Chen :
"""I cannot bear to put away the bamboo sleeping mat.","""Je ne peux supporter de ranger le matelas de bambou."
"The night I brought you home, I watched you roll it out.""","La nuit où je t'ai ramenée chez moi, je t'ai regardée le dérouler."""
"He became hooked on a sleeping mat, probably because of elevated activity of dopamine in his brain, just like with you and me.",Il est devenu accro à un matelas en bambou probablement en raison de la forte sécrétion de dopamine de son cerveau comme c'est le cas pour vous et moi.
"But anyway, not only does this person take on special meaning, you focus your attention on them.","Donc, non seulement cette personne prend une dimension particulière mais en plus votre attention se fixe sur elle."
You aggrandize them. But you have intense energy.,Vous l'idéalisez. Mais vous ressentez une énergie très forte.
"As one Polynesian said, ""I felt like jumping in the sky.""","Un Polynésien a dit : ""C'était comme sauter dans le ciel."""
You're up all night. You're walking till dawn.,Vous veillez toute la nuit. Vous marchez jusqu'à l'aube.
You feel intense elation when things are going well; mood swings into horrible despair when things are going poorly.,"Lorsque les choses vont bien, vous ressentez une exaltation intense et un profond désespoir lorsqu'elles vont mal."
Real dependence on this person.,Une vraie dépendance à cette personne.
"As one businessman in New York said to me, ""Anything she liked, I liked.""","Un homme d'affaires new-yorkais m'a dit un jour: ""Tout ce qu'elle aimait, j'aimais."""
Simple. Romantic love is very simple.,C'est simple. L'amour est très simple.
You become extremely sexually possessive.,Vous devenez très possessif sexuellement.
"You know, if you're just sleeping with somebody casually, you don't really care if they're sleeping with somebody else.","Vous savez, si vous couchez avec une personne de passage vous vous moquez de savoir si elle couche avec d'autres."
"But the moment you fall in love, you become extremely sexually possessive of them.","Mais dès l'instant où vous tombez amoureux, vous devenez très possessif sexuellement."
I think there's a Darwinian purpose to this. The whole point of this is to pull two people together strongly enough to begin to rear babies as a team.,Je crois que c'est darwinien... il y a un enjeu darwinien dans cet aspect des choses. L'enjeu est de créer un lien suffisamment fort entre deux personnes pour élever des enfants ensemble.
"But the main characteristics of romantic love are craving: an intense craving to be with a particular person, not just sexually, but emotionally.","Mais le principal trait de l'amour est le besoin : un besoin intense d'être avec cette personne, pas seulement sexuellement mais émotionnellement."
"It would be nice to go to bed with them, but you want them to call you on the telephone, to invite you out, etc., to tell you that they love you.","Ou plutôt... ce serait agréable de partager le même lit mais vous voulez aussi qu'elle vous appelle au téléphone, qu'elle vous invite à sortir, etc., Qu'elle vous dise qu'elle vous aime."
The other main characteristic is motivation.,L'autre caractéristique principale est la motivation.
"The motor in the brain begins to crank, and you want this person.",Le moteur de votre cerveau se met en marche et vous désirez cette personne.
"And last but not least, it is an obsession.",Puis cela devient une obsession.
"Before I put these people in the MRI machine, I would ask them all kinds of questions.","Quand je mets ces personnes dans la machine, juste avant que je ne les mette dans le scanner, je leur pose toutes sortes de questions."
But my most important question was always the same.,Mais ma question la plus importante est toujours la même.
"It was: ""What percentage of the day and night do you think about this person?""","C'est : ""Quel pourcentage du jour et de la nuit passez vous à penser à cette personne?"""
"And indeed, they would say, ""All day. All night. I can never stop thinking about him or her.""","Et effectivement, ils répondent ""Toute la journée, toute la nuit, je ne peux jamais arrêter de penser à elle ou à lui."""
"And then, the very last question -- I would always have to work myself up to this question, because I'm not a psychologist.","Et ensuite, la toute dernière question que je leur pose... J'ai toujours besoin de faire un effort pour poser cette question parce que je ne suis pas un psychologue,"
I don't work with people in any kind of traumatic situation.,je ne travaille jamais avec des personnes qui sont dans une situation traumatique.
My final question was always the same.,Ma question finale est toujours la même.
"I would say, ""Would you die for him or her?""","Je demande : ""Pourriez-vous mourir pour lui ou elle?"""
"And, indeed, these people would say ""Yes!""","Et, effectivement, ces personnes répondent ""Oui!"""
as if I had asked them to pass the salt.,un peu comme si je leur avais demandé de me passer le sel.
"I was just staggered by it. So we scanned their brains, looking at a photograph of their sweetheart and looking at a neutral photograph, with a distraction task in between.","J'étais stupéfaite. On a donc scanné leurs cerveaux en leur demandant de regarder une photo de leur bien-aimé puis une photo ""neutre"" avec une pause entre les deux."
So we could look at the same brain when it was in that heightened state and when it was in a resting state.,Ainsi nous pouvions trouver...regarder le même cerveau en état de forte activité et en état de repos.
And we found activity in a lot of brain regions.,Et nous avons trouvé que de nombreuses régions du cerveau sont actives.
"In fact, one of the most important was a brain region that becomes active when you feel the rush of cocaine.","En fait, une des zones les plus actives est la même que celle qui réagit lorsque vous ressentez l'effet d'une injection de cocaïne."
"And indeed, that's exactly what happens.",Et c'est exactement ce qui se passe.
I began to realize that romantic love is not an emotion.,J'ai commencé à réaliser que l'amour n'est pas une émotion.
"In fact, I had always thought it was a series of emotions, from very high to very low.",J'avais toujours pensé qu'il s'agissait d'une série d'émotions allant du très fort au très faible.
"But actually, it's a drive. It comes from the motor of the mind, the wanting part of the mind, the craving part of the mind.","Mais c'est plutôt une dynamique. Ça part de l'esprit de la volonté, de l'envie."
"The kind of part of the mind when you're reaching for that piece of chocolate, when you want to win that promotion at work.","C'est la partie du cerveau qui veut un morceau de chocolat, qui veut gagner une promotion professionnelle."
The motor of the brain. It's a drive.,Le moteur du cerveau. C'est un besoin.
"And in fact, I think it's more powerful than the sex drive.",Et je pense que c'est plus fort que la dynamique de l'envie sexuelle.
"You know, if you ask somebody to go to bed with you, and they say, ""No, thank you,"" you certainly don't kill yourself or slip into a clinical depression.","Si vous proposez à une personne de coucher avec vous et qu'elle répond ""non merci"" vous n'allez certainement pas vous suicider ou sombrer dans la dépression."
"But certainly, around the world, people who are rejected in love will kill for it.","Mais certainement, dans le monde, des gens tueront parce que leur amour est rejeté."
People live for love. They kill for love. They die for love.,Les gens vivent pour l'amour. Ils tuent par amour. Ils meurent par amour.
"They have songs, poems, novels, sculptures, paintings, myths, legends.","Ils en font des chansons, des poèmes, des romans, des sculptures, des tableaux, des mythes, des légendes."
"In over 175 societies, people have left their evidence of this powerful brain system.",On a trouvé des preuves de ce puissant processus cérébral dans plus de 175 sociétés.
I have come to think it's one of the most powerful brain systems on Earth for both great joy and great sorrow.,Je crois aujourd'hui que c'est le plus puissant processus cérébral au monde générant à la fois une joie ou une détresse immense.
And I've also come to think that it's one of three basically different brain systems that evolved from mating and reproduction.,Et j'en suis arrivée à la conclusion qu'il s'agit de l'un des trois processus cérébraux qui ont évolué à partir de l'accouplement et de la reproduction.
One is the sex drive: the craving for sexual gratification.,L'un d'entre eux est le besoin sexuel : l'envie d'une gratification sexuelle.
"W.H. Auden called it an ""intolerable neural itch,"" and indeed, that's what it is.","W.H. Auden a appelé cela ""une intolérable démangeaison neurale"" et en effet, c'est de cela qu'il s'agit."
"It keeps bothering you a little bit, like being hungry.","Ca vous titille un peu, comme quand vous avez faim."
"The second of these three brain systems is romantic love: that elation, obsession of early love.","Le second de ces processus cérébraux est l'amour : cette exaltation, cette obsession propre à un amour naissant."
And the third brain system is attachment: that sense of calm and security you can feel for a long-term partner.,Et le troisième processus cérébral est l'attachement : c'est une sensation de calme et de sécurité que l'on ressent pour un partenaire de long terme.
"And I think that the sex drive evolved to get you out there, looking for a whole range of partners.",Et je pense que le besoin sexuel a évolué pour nous faire aller à la recherche de partenaires.
You can feel it when you're just driving along in your car.,"Vous savez, vous pouvez le ressentir quand vous conduisez votre voiture."
It can be focused on nobody.,Il peut même ne pas se porter sur une personne en particulier.
"I think romantic love evolved to enable you to focus your mating energy on just one individual at a time, thereby conserving mating time and energy.","Je crois que l'amour a évolué pour nous permettre de canaliser notre envie d'accouplement vers un seul individu à la fois, en canalisant ainsi l'envie et les périodes d'accouplement."
"And I think that attachment, the third brain system, evolved to enable you to tolerate this human being at least long enough to raise a child together as a team.","Et je crois que l'attachement, le troisième processus cérébral a évolué pour nous permettre de tolérer cet être humain,  au moins assez longtemps pour élever un enfant ensemble."
"So with that preamble, I want to go into discussing the two most profound social trends.","Après ce préambule, je voudrais parler de ces deux tendances sociales."
"One of the last 10,000 years and the other, certainly of the last 25 years, that are going to have an impact on these three different brain systems: lust, romantic love and deep attachment to a partner.","L'une a 10.000 ans et l'autre... s'est imposée sans doute ces 25 dernières années... et elles vont avoir un impact sur ces trois processus cérébraux : le désir, l'amour et l'attachement profond pour un partenaire."
"The first is women working, moving into the workforce.","La première tendance est le travail des femmes, elles intègrent le monde du travail."
I've looked at 130 societies through the demographic yearbooks of the United Nations.,J'ai observé 150... 130 sociétés à travers les données démographiques des Nations Unies.
"Everywhere in the world, 129 out of 130 of them, women are not only moving into the job market -- sometimes very, very slowly, but they are moving into the job market -- and they are very slowly closing that gap between men and women in terms of economic power, health and education.","Et partout dans le monde, dans 129 sociétés sur 130, les femmes progressent sur le marché du travail parfois très très lentement, mais elles avancent... et elles comblent très lentement le fossé qui existe entre hommes et femmes en termes de pouvoir économique, de santé et d'éducation."
It's very slow.,C'est très lent.
"For every trend on this planet, there's a counter-trend.","Pour chaque tendance... sur cette planète, il y a une ""contre-tendance""."
"We all know of them, but nevertheless -- the Arabs say, ""The dogs may bark, but the caravan moves on.""","Nous connaissons ça mais quand même... comme dit le proverbe arabe : ""Les chiens aboient et la caravane passe."""
"And, indeed, that caravan is moving on.","Et en effet, la caravane passe."
Women are moving back into the job market.,Les femmes avancent de nouveau sur le marché du travail.
"And I say back into the job market, because this is not new.","Et je dis ""de nouveau"" parce que ce n'est pas la première fois."
"For millions of years, on the grasslands of Africa, women commuted to work to gather their vegetables.","Pendant des millions d'années, dans les prairies africaines, les femmes se sont déplacées pour récolter des légumes."
They came home with 60 to 80 percent of the evening meal.,Elles rentraient avec l'équivalent de 60 à 80% du repas du soir.
The double income family was the standard.,Un double revenu par famille était standard.
"And women were regarded as just as economically, socially and sexually powerful as men.","Et les femmes étaient considérées comme l'équivalent économique, social et sexuel de l'homme."
"In short, we're really moving forward to the past.","En résumé, nous avançons vers le passé."
"Then, women's worst invention was the plow.",Puis la pire invention pour la femme fut la charrue.
"With the beginning of plow agriculture, men's roles became extremely powerful.","Quand la charrue a commencé à être utilisée dans l'agriculture, le rôle de l'homme s'est renforcé grandement."
"Women lost their ancient jobs as collectors, but then with the industrial revolution and the post-industrial revolution they're moving back into the job market.",Les femmes ont perdu leur travail de cueilleuses mais avec la révolution industrielle et post-industrielle elles ont réapparu sur le marché du travail.
"In short, they are acquiring the status that they had a million years ago, 10,000 years ago, 100,000 years ago.","En résumé, elles retrouvent la place qu'elles avaient voilà un million d'années, il y a 10.000, 100.000 ans."
We are seeing now one of the most remarkable traditions in the history of the human animal.,On retrouve l'une des traditions les plus remarquables de l'histoire de l'animal humain.
And it's going to have an impact.,Et cela va avoir un impact.
I generally give a whole lecture on the impact of women on the business community.,Je donne souvent une conférence entière sur l'impact des femmes sur le monde économique.
"I'll say just a couple of things, and then go on to sex and love.",Je vais juste aborder deux points et je passerai au sexe et à l'amour.
There's a lot of gender differences; anybody who thinks men and women are alike simply never had a boy and a girl child.,Il existe de nombreuses différences entre les sexes. Celui qui pense que les hommes et les femmes sont semblables n'a jamais été parent d'un garçon et d'une fille.
I don't know why they want to think that men and women are alike.,Je ne sais pas pourquoi ils veulent penser que les hommes et les femmes soient semblables.
"There's much we have in common, but there's a whole lot that we do not have in common.","Nous avons beaucoup en commun, mais il y a beaucoup de choses que nous n'avons pas en commun."
"We are -- in the words of Ted Hughes, ""I think that we are like two feet. We need each other to get ahead.""","Nous sommes, selon Ted Hugues, ""Je crois que nous sommes faits pour être... nous sommes comme deux pieds. Nous avons besoin de l'autre pour avancer."""
But we did not evolve to have the same brain.,Mais nos cerveaux n'ont pas évolué de la même manière.
And we're finding more and more gender differences in the brain.,Et on trouve encore et toujours de nouvelles différences dans nos cerveaux.
I'll only just use a couple and then move on to sex and love.,Je vais juste aborder deux points puis je passerai au sexe et à l'amour.
One of them is women's verbal ability. Women can talk.,Le premier point est la capacité verbale de la femme. Les femmes savent s'exprimer.
"Women's ability to find the right word rapidly, basic articulation goes up in the middle of the menstrual cycle, when estrogen levels peak.","La capacité de la femme à trouver le mot juste rapidement, l'articulation basique intervient au milieu du cycle menstruel lorsque le niveau d'oestrogène est au maximum."
"But even at menstruation, they're better than the average man.","Mais même au cours de la menstruation, elles sont meilleures que l'homme moyen."
Women can talk.,Les femmes savent s'exprimer.
They've been doing it for a million years; words were women's tools.,"Elles parlent depuis un million d'années, les mots étaient les outils des femmes."
"They held that baby in front of their face, cajoling it, reprimanding it, educating it with words.","Elles ont tenu leur bébé face à elles, l'ont cajolé, l'ont grondé, l'ont éduqué grâce aux mots."
"And, indeed, they're becoming a very powerful force.",Et elles acquièrent un pouvoir considérable.
"Even in places like India and Japan, where women are not moving rapidly into the regular job market, they're moving into journalism.","Y compris dans des pays comme l'Inde ou le Japon où les femmes progressent lentement dans le monde du travail, elles entrent dans le journalisme."
And I think that the television is like the global campfire.,Je pense que la télévision est comme un immense feu de camp.
We sit around it and it shapes our minds.,On s'assied autour et elle forge nos esprits.
"Almost always, when I'm on TV, the producer who calls me, who negotiates what we're going to say, is a woman.","En général, lorsque je passe à la télévision, les producteurs qui m'appellent pour négocier de ce dont on va parler, sont des femmes."
"In fact, Solzhenitsyn once said, ""To have a great writer is to have another government.""","Soljenitsyne a dit: ""Avoir un grand écrivain, c'est avoir un autre gouvernement."""
Today 54 percent of people who are writers in America are women.,"Aujourd'hui, 54% des écrivains américains sont des femmes."
"It's one of many, many characteristics that women have that they will bring into the job market.",C'est l'une des nombreuses caractéristiques que les femmes ont et qu'elles proposent sur le marché du travail.
"They've got incredible people skills, negotiating skills.","Elles ont des incroyables capacités de communication, de négociations."
They're highly imaginative.,Elles ont une immense imagination.
"We now know the brain circuitry of imagination, of long-term planning.","On connaît aujourd'hui le processus cérébral de l'imagination, de la planification à long terme."
They tend to be web thinkers.,Elles ont tendance à avoir une pensée en réseau.
"Because the female parts of the brain are better connected, they tend to collect more pieces of data when they think, put them into more complex patterns, see more options and outcomes.","parce que les éléments cérébraux féminins sont mieux connectés, elles ont tendance à collecter plus de données lorsqu'elles réfléchissent, à les inclure dans des actions plus complexes, à analyser davantage d'options et de solutions."
"They tend to be contextual, holistic thinkers, what I call web thinkers.","Elles collent au contexte, ont une approche holistique, ce que j'appelle une pensée en réseau."
"Men tend to -- and these are averages -- tend to get rid of what they regard as extraneous, focus on what they do, and move in a more step-by-step thinking pattern.","Les hommes ont tendance... et ce sont des moyennes... à se débarrasser de ce qu'ils considèrent comme étranger à la question, à se concentrer sur ce qu'ils font et à développer un type de réflexion étape par étape."
They're both perfectly good ways of thinking.,Ce sont deux types de réflexions efficaces.
We need both of them to get ahead.,Nous avons besoin des deux pour avancer.
"In fact, there's many more male geniuses in the world.","En fait, il y a plus de génies masculins dans le monde."
"And there's also many more male idiots in the world.  When the male brain works well, it works extremely well.","Quand le... et il y a aussi beaucoup plus d'imbéciles masculins dans le monde.  Quand le cerveau masculin fonctionne bien, il fonctionne extrêmement bien."
"And what I really think that we're doing is, we're moving towards a collaborative society, a society in which the talents of both men and women are becoming understood and valued and employed.","Et je... ce que je crois c'est que nous allons vers une société collaborative, une société dans laquelle les talents des hommes et des femmes sont de mieux en mieux compris, valorisés et utilisés."
"But in fact, women moving into the job market is having a huge impact on sex and romance and family life.","Mais le fait que les femmes progressent sur le marché du travail a un énorme impact sur la sexualité, l'amour et la vie de famille."
"Foremost, women are starting to express their sexuality.","De plus, les femmes commencent à exprimer leur sexualité."
"I'm always astonished when people come to me and say, ""Why is it that men are so adulterous?""","Je suis toujours frappée lorsque les gens me disent : ""Pourquoi l'adultère est-il si souvent masculin?"""
"""Why do you think more men are adulterous than women?""","et je réponds, ""Pourquoi pensez-vous que l'adultère soit plus masculin que féminin?"""
"""Well, men are more adulterous!""","""Eh bien... l'adultère c'est les hommes!"""
"And I say, ""Who do you think these men are sleeping with?""","""Et vous pensez que ces hommes couchent avec qui?"""
And -- basic math!,Et... logique mathématique!
Anyway.,Bref.
"In the Western world, women start sooner at sex, have more partners, express less remorse for the partners that they do, marry later, have fewer children, leave bad marriages in order to get good ones.","Dans le monde occidental, les petites filles commencent... les femmes ont des rapports sexuels plus précoces, ont plus de partenaires, expriment moins de remords quant à leurs partenaires, se marient plus tard, ont moins d'enfants, quittent un mauvais mariage pour trouver mieux."
We are seeing the rise of female sexual expression.,On constate une expression grandissante de la sexualité féminine.
"And, indeed, once again we're moving forward to the kind of sexual expression that we probably saw on the grasslands of Africa a million years ago, because this is the kind of sexual expression that we see in hunting and gathering societies today.","Et, encore une fois, on se dirige vers le même type d'expression sexuelle que nous avons probablement connu dans les prairies africaines il y a un million d'années parce que c'est le type d'expression sexuelle que l'on retrouve dans les sociétés de chasse et les communautés aujourd'hui."
We're also returning to an ancient form of marriage equality.,Nous revenons aussi à une forme ancienne d'égalité dans le mariage.
"They're now saying that the 21st century is going to be the century of what they call the ""symmetrical marriage,"" or the ""pure marriage,"" or the ""companionate marriage.""","On dit que le XXIe siècle sera le siècle du ""mariage symétrique"" ou du ""mariage pur"" ou ""mariage amical""."
"This is a marriage between equals, moving forward to a pattern that is highly compatible with the ancient human spirit.","C'est le mariage entre égaux, se dirigeant vers un concept en adéquation avec l'ancien esprit humain."
We're also seeing a rise of romantic love.,On constate aussi une montée de l'amour.
"91 percent of American women and 86 percent of American men would not marry somebody who had every single quality they were looking for in a partner, if they were not in love with that person.","91% des femmes américaines et 86% des hommes américains ne se marieraient pas avec quelqu'un même s'il avait toutes les qualités qu'ils recherchent chez un partenaire, s'ils n'étaient pas amoureux de cette personne."
"People around the world, in a study of 37 societies, want to be in love with the person that they marry.","A travers l'étude de 37 sociétés, les êtres humains veulent être amoureux de la personne qu'ils épousent."
"Indeed, arranged marriages are on their way off this braid of human life.",Les mariages arrangés sont en effet en train de disparaître.
I even think that marriages might even become more stable because of the second great world trend.,Je crois même que les mariages pourraient même devenir plus solides grâce de la seconde grande tendance.
"The first one being women moving into the job market, the second one being the aging world population.","La première, ce sont les femmes qui progressent sur le marché de l'emploi, la seconde c'est le vieillissement de la population."
"They're now saying that in America, that middle age should be regarded as up to age 85.","On entend dire aujourd'hui aux Etats-Unis que jusqu'à 85 ans, on est quelqu'un d'âge moyen,"
"Because in that highest age category of 76 to 85, as much as 40 percent of people have nothing really wrong with them.","parce que dans la classe la plus âgée de cette catégorie de gens, de 76 à 85 ans, 40% des gens vivent sans aucun problème."
So we're seeing there's a real extension of middle age.,"On constate donc une réelle extension du concept de l'""âge moyen""."
"For one of my books, I looked at divorce data in 58 societies.","Et pour l'un de mes livres, j'ai étudié les divorces dans 58 sociétés."
"And as it turns out, the older you get, the less likely you are to divorce.","Et la conclusion, c'est que plus vous vieillissez, moins vous avez de chances de divorcer."
"So the divorce rate right now is stable in America, and it's actually beginning to decline.","Aux Etats-Unis, le taux de divorce aujourd'hui est stable et il commence même à diminuer."
It may decline some more.,Il devrait encore baisser.
"I would even say that with Viagra, estrogen replacement, hip replacements and the incredibly interesting women -- women have never been as interesting as they are now.","Et je dirais qu'avec le Viagra, les oestrogènes de synthèses, les prothèses de hanche et les femmes incroyablement intéressantes... Les femmes n'ont jamais été aussi intéressantes."
"Not at any time on this planet have women been so educated, so interesting, so capable.","C'est la première fois dans l'histoire que les femmes sont aussi éduquées, intéressantes, qualifiées."
"And so I honestly think that if there really was ever a time in human evolution when we have the opportunity to make good marriages, that time is now.","Et honnêtement, s'il est une époque dans l'histoire de l'humanité, où nous avons l'occasion de réussir nos mariages, c'est aujourd'hui."
"However, there's always kinds of complications in this.","Bien sûr, il y a toujours des écueils."
"These three brain systems -- lust, romantic love and attachment -- don't always go together.","Les trois processus cérébraux : le désir, l'amour et l'attachement ne se combinent pas toujours parfaitement."
"They can go together, by the way.","Ils peuvent très bien se combiner, cela dit en passant."
That's why casual sex isn't so casual.,C'est pour cela que les relations sexuelles occasionnelles ne sont pas toujours si désinvoltes.
With orgasm you get a spike of dopamine.,"Au cours de l'orgasme, il y a un pic de dopamine."
"Dopamine's associated with romantic love, and you can just fall in love with somebody who you're just having casual sex with.","La dopamine étant associée à l'amour, vous avez une bonne chance de tomber amoureux d'une personne avec qui vous couchez occasionnellement."
"With orgasm, then you get a real rush of oxytocin and vasopressin -- those are associated with attachment.","Avec l'orgasme, vous avez une montée d'oxytocine et de vasopressine, ces deux-là sont associés à l'attachement."
This is why you can feel such a sense of cosmic union with somebody after you've made love to them.,"C'est pour cela qu'on ressent parfois un sentiment d'union cosmique avec quelqu'un, après avoir fait l'amour."
"But these three brain systems: lust, romantic love and attachment, aren't always connected to each other.","Mais ces trois processus cérébraux : désir, amour et attachement, ne sont pas toujours connectés entre eux."
"You can feel deep attachment to a long-term partner while you feel intense romantic love for somebody else, while you feel the sex drive for people unrelated to these other partners.",Vous pouvez ressentir un profond attachement pour un partenaire de long terme tout en ressentant un sentiment d'amour intense pour quelqu'un d'autre et en ayant une attirance sexuelle pour d'autres personnes.
"In short, we're capable of loving more than one person at a time.","En résumé, nous sommes capables d'aimer plus d'une personne à la fois."
"In fact, you can lie in bed at night and swing from deep feelings of attachment for one person to deep feelings of romantic love for somebody else.","En fait, vous pouvez être allongé au lit la nuit et passer de sentiments profonds d'attachement pour quelqu'un à des sentiments d'amour intense pour quelqu'un d'autre,"
It's as if there's a committee meeting going on in your head as you are trying to decide what to do.,un peu comme s'il y avait un comité qui se réunissait dans votre cerveau pendant que vous essayez de décider ce que vous devez faire.
"So I don't think, honestly, we're an animal that was built to be happy; we are an animal that was built to reproduce.","Et donc honnêtement, je ne pense pas que nous soyons un animal programmé pour être heureux, mais plutôt destiné à nous reproduire."
"I think the happiness we find, we make.","Je crois que le bonheur que nous trouvons, nous le fabriquons."
"And I think, however, we can make good relationships with each other.",Et je pense que nous pouvons tisser des bons liens entre nous.
So I want to conclude with two things.,Je conclurai avec deux points :
"I want to conclude with a worry, and with a wonderful story.","il y a un point qui m'inquiète, une inquiétude et une magnifique histoire."
The worry is about antidepressants.,"Cette inquiétude, ce sont les anti-dépresseurs."
Over 100 million prescriptions of antidepressants are written every year in the United States.,"Aux Etats-Unis, plus de 100 millions de prescriptions d'anti-dépresseurs sont délivrées chaque année."
And these drugs are going generic.,Ces médicaments deviennent des génériques
They are seeping around the world.,et se répandent dans le monde entier.
"I know one girl who's been on these antidepressants, SSRIs, serotonin-enhancing antidepressants -- since she was 13.",Je connais une jeune fille qui prend des anti-dépresseurs à base de sérotonine SSRI - des antidépresseurs augmentant la sérotonine - depuis qu'elle a 13 ans.
She's 23. She's been on them ever since she was 13.,Elle en a aujourd'hui 23. Elle en prend depuis qu'elle a 13 ans
"I've got nothing against people who take them short term, when they're going through something horrible.","Je n'ai rien contre les personnes qui en prennent à court terme lorsqu'ils traversent une situation pénible,"
They want to commit suicide or kill somebody else.,"dans le cas de personnes qui veulent se suicider ou tuer quelqu'un,"
I would recommend it.,c'est une très bonne chose à mon avis.
But more and more people in the United States are taking them long term.,"Mais aux Etats-Unis, de plus en plus de gens en prennent sur de longues périodes."
"And indeed, what these drugs do is raise levels of serotonin.",Et ces médicaments augmentent les niveaux de sérotonine
"And by raising levels of serotonin, you suppress the dopamine circuit.","et en augmentant les niveaux de sérotonine, ils coupent le circuit de dopamine."
Everybody knows that.,Tout le monde sait ça.
Dopamine is associated with romantic love.,La dopamine est associée à l'amour.
"Not only do they suppress the dopamine circuit, but they kill the sex drive.","Donc, non seulement le circuit de dopamine est coupé mais ils effacent le besoin sexuel."
"And when you kill the sex drive, you kill orgasm.","Et en tuant le besoin sexuel, vous tuez l'orgasme."
"And when you kill orgasm, you kill that flood of drugs associated with attachment.","Et en tuant l'orgasme, vous tuez le flux d'hormones associé à l'attachement."
